beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	30	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 18:05:50.803748
begin	0.0	0.0	35	47.23687885054159		6.022230358397715		27 - MAIRIE		27		2014-05-22 18:06:50.803748
end	1.793215361092487	0.18333333333333332	30	47.247417297125864	47.241255701340755	6.028643227134329	6.006690275635534	22 - LIBERTE	30 - XAVIER MARMIER	22	30.0	2014-05-22 18:16:50.803748
begin	0.0	0.0	15	47.241255701340755		6.006690275635534		30 - XAVIER MARMIER		30		2014-05-22 18:17:50.803748
end	1.7602748079220303	0.18333333333333332	15	47.241255701340755	47.245601166043805	6.006690275635534	6.029112984244656	30 - XAVIER MARMIER	04 - FLORE	30	4.0	2014-05-22 18:28:50.803748
begin	0.0	0.0	25	47.238861017468444		6.029520493529113		26 - BERSOT		26		2014-05-22 18:29:50.803748
end	1.743977894195958	0.18333333333333332	25	47.238861017468444	47.241255701340755	6.029520493529113	6.006690275635534	26 - BERSOT	30 - XAVIER MARMIER	26	30.0	2014-05-22 18:40:50.803748
begin	0.0	0.0	110	47.23962163528984		6.01727555596672		08 - MARULAZ		8		2014-05-22 18:41:50.803748
end	0.6796030211056185	1.0	35	47.23687885054159	47.242989691774426	6.022230358397715	6.022069520897031	27 - MAIRIE	02 - SQUARE BOUCHOT	27	2.0	2014-05-22 19:06:50.803748
begin	0.0	0.0	60	47.232972634791274		6.020189619260524		17 - PREFECTURE		17		2014-05-22 19:07:50.803748
end	1.557460128951713	0.18333333333333332	60	47.232972634791274	47.245601166043805	6.020189619260524	6.029112984244656	17 - PREFECTURE	04 - FLORE	17	4.0	2014-05-22 19:18:50.803748
begin	0.0	0.0	40	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 19:19:50.803748
end	1.5655076971839923	0.18333333333333332	40	47.24010992877723	47.241255701340755	6.027358757731064	6.006690275635534	24 - MEDIATHEQUE	30 - XAVIER MARMIER	24	30.0	2014-05-22 19:30:50.803748
begin	0.0	0.0	5	47.232098051962886		6.035135506401409		23 - RIVOTTE		23		2014-05-22 19:31:50.803748
end	1.365757876362956	1.0	110	47.23962163528984	47.234141824485384	6.01727555596672	6.033465399526011	08 - MARULAZ	14 - JACOBINS	8	14.0	2014-05-22 19:41:50.803748
begin	0.0	0.0	115	47.23532713371164		6.025415743969972		12 - GRANVELLE (CB)		12		2014-05-22 19:42:50.803748
end	1.9059405423023676	0.18333333333333332	5	47.232098051962886	47.242266739833966	6.035135506401409	6.014812815272848	23 - RIVOTTE	28 - LECLERC	23	28.0	2014-05-22 19:42:50.803748
begin	0.0	0.0	26	47.238861017468444		6.029520493529113		26 - BERSOT		26		2014-05-22 19:43:50.803748
end	1.559844703661878	0.2	115	47.23532713371164	47.241255701340755	6.025415743969972	6.006690275635534	12 - GRANVELLE (CB)	30 - XAVIER MARMIER	12	30.0	2014-05-22 19:54:50.803748
begin	0.0	0.0	105	47.24274259048728		6.025292335375532		05 - ISEMBART		5		2014-05-22 19:55:50.803748
end	1.743977894195958	0.2	26	47.238861017468444	47.241255701340755	6.029520493529113	6.006690275635534	26 - BERSOT	30 - XAVIER MARMIER	26	30.0	2014-05-22 19:55:50.803748
begin	0.0	0.0	50	47.24598		6.0224		01 - GARE VIOTTE (CB)		1		2014-05-22 19:56:50.803748
end	1.757529660991355	0.18333333333333332	50	47.24598	47.230679917904574	6.0224	6.028241933846067	01 - GARE VIOTTE (CB)	15 - TARRAGNOZ	1	15.0	2014-05-22 20:07:50.803748
