available_bike_stands	available_bikes	collect_date	file	lat	lng	name	number
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.240378590402976	6.033592242591653	07 - GARE MOUILLERE	7
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.239837298410414	6.019829222956177	03 - MADELEINE (CB)	3
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.23816305075897	6.032473880806257	21 - SAINT-PAUL	21
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.23962163528984	6.01727555596672	08 - MARULAZ	8
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.232972634791274	6.020189619260524	17 - PREFECTURE	17
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.241255701340755	6.006690275635534	30 - XAVIER MARMIER	30
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.237975621583274	6.026233043233463	25 - MORAND	25
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.23549883612933	6.015246632284997	09 - LA CITY (CB)	9
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.242989691774426	6.022069520897031	02 - SQUARE BOUCHOT	2
6	4	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.23532713371164	6.025415743969972	12 - GRANVELLE (CB)	12
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.24598	6.0224	01 - GARE VIOTTE (CB)	1
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.239472732151135	6.023347888923649	20 - REVOLUTION	20
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.24087	6.0253	19 - BEAUX-ARTS	19
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.232140411418726	6.022842670313092	16 - GARE D'EAU	16
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.230679917904574	6.028241933846067	15 - TARRAGNOZ	15
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.234686721360035	6.029668698192095	13 - VICTOR HUGO	13
5	5	2014-05-22 18:10:19.262127	2014-05-22 18:10:19.262127	47.23570567397708	6.021461994271495	18 - SAINT-JACQUES (CB)	18
