beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	60	47.232972634791274		6.020189619260524		17 - PREFECTURE		17		2014-05-22 18:06:34.150312
begin	0.0	0.0	90	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 18:07:34.150312
begin	0.0	0.0	91	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 18:08:34.150312
end	1.557460128951713	0.18333333333333332	60	47.232972634791274	47.245601166043805	6.020189619260524	6.029112984244656	17 - PREFECTURE	04 - FLORE	17	4.0	2014-05-22 18:17:34.150312
begin	0.0	0.0	145	47.237975621583274		6.026233043233463		25 - MORAND		25		2014-05-22 18:18:34.150312
end	1.5197758433654933	0.2	145	47.237975621583274	47.241255701340755	6.026233043233463	6.006690275635534	25 - MORAND	30 - XAVIER MARMIER	25	30.0	2014-05-22 18:30:34.150312
begin	0.0	0.0	92	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 18:31:34.150312
end	1.4408370005519244	0.18333333333333332	92	47.239837298410414	47.232098051962886	6.019829222956177	6.035135506401409	03 - MADELEINE (CB)	23 - RIVOTTE	3	23.0	2014-05-22 18:42:34.150312
begin	0.0	0.0	20	47.242989691774426		6.022069520897031		02 - SQUARE BOUCHOT		2		2014-05-22 18:43:34.150312
end	1.5619920596698929	0.18333333333333332	20	47.242989691774426	47.232098051962886	6.022069520897031	6.035135506401409	02 - SQUARE BOUCHOT	23 - RIVOTTE	2	23.0	2014-05-22 18:54:34.150312
begin	0.0	0.0	61	47.232972634791274		6.020189619260524		17 - PREFECTURE		17		2014-05-22 18:55:34.150312
end	1.4559474444134786	0.18333333333333332	61	47.232972634791274	47.24598	6.020189619260524	6.0224	17 - PREFECTURE	01 - GARE VIOTTE (CB)	17	1.0	2014-05-22 19:06:34.150312
begin	0.0	0.0	15	47.241255701340755		6.006690275635534		30 - XAVIER MARMIER		30		2014-05-22 19:07:34.150312
end	0.47566578721751074	1.0	90	47.239837298410414	47.23570567397708	6.019829222956177	6.021461994271495	03 - MADELEINE (CB)	18 - SAINT-JACQUES (CB)	3	18.0	2014-05-22 19:07:34.150312
begin	0.0	0.0	10	47.232140411418726		6.022842670313092		16 - GARE D'EAU		16		2014-05-22 19:08:34.150312
end	0.47566578721751074	1.0	91	47.239837298410414	47.23570567397708	6.019829222956177	6.021461994271495	03 - MADELEINE (CB)	18 - SAINT-JACQUES (CB)	3	18.0	2014-05-22 19:08:34.150312
begin	0.0	0.0	75	47.230679917904574		6.028241933846067		15 - TARRAGNOZ		15		2014-05-22 19:09:34.150312
end	2.0332314585682236	0.18333333333333332	15	47.241255701340755	47.240378590402976	6.006690275635534	6.033592242591653	30 - XAVIER MARMIER	07 - GARE MOUILLERE	30	7.0	2014-05-22 19:18:34.150312
begin	0.0	0.0	125	47.23658127083706		6.028437571298568		11 - JEAN CORNET		11		2014-05-22 19:19:34.150312
end	1.5698406840379187	0.18333333333333332	10	47.232140411418726	47.245601166043805	6.022842670313092	6.029112984244656	16 - GARE D'EAU	04 - FLORE	16	4.0	2014-05-22 19:19:34.150312
begin	0.0	0.0	30	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 19:20:34.150312
end	1.6394853686310886	0.18333333333333332	75	47.230679917904574	47.242266739833966	6.028241933846067	6.014812815272848	15 - TARRAGNOZ	28 - LECLERC	15	28.0	2014-05-22 19:20:34.150312
begin	0.0	0.0	76	47.230679917904574		6.028241933846067		15 - TARRAGNOZ		15		2014-05-22 19:21:34.150312
end	1.7221237242391285	0.2	125	47.23658127083706	47.241255701340755	6.028437571298568	6.006690275635534	11 - JEAN CORNET	30 - XAVIER MARMIER	11	30.0	2014-05-22 19:31:34.150312
end	1.6670722389801897	0.18333333333333332	30	47.247417297125864	47.23549883612933	6.028643227134329	6.015246632284997	22 - LIBERTE	09 - LA CITY (CB)	22	9.0	2014-05-22 19:31:34.150312
begin	0.0	0.0	45	47.245601166043805		6.029112984244656		04 - FLORE		4		2014-05-22 19:32:34.150312
end	1.4459360307122335	0.18333333333333332	76	47.230679917904574	47.242989691774426	6.028241933846067	6.022069520897031	15 - TARRAGNOZ	02 - SQUARE BOUCHOT	15	2.0	2014-05-22 19:32:34.150312
begin	0.0	0.0	100	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 19:33:34.150312
begin	0.0	0.0	65	47.23816305075897		6.032473880806257		21 - SAINT-PAUL		21		2014-05-22 19:34:34.150312
end	1.6604697940260076	0.18333333333333332	45	47.245601166043805	47.230679917904574	6.029112984244656	6.028241933846067	04 - FLORE	15 - TARRAGNOZ	4	15.0	2014-05-22 19:43:34.150312
begin	0.0	0.0	40	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 19:44:34.150312
end	1.487521281536461	0.18333333333333332	100	47.240378590402976	47.23549883612933	6.033592242591653	6.015246632284997	07 - GARE MOUILLERE	09 - LA CITY (CB)	7	9.0	2014-05-22 19:44:34.150312
begin	0.0	0.0	85	47.234686721360035		6.029668698192095		13 - VICTOR HUGO		13		2014-05-22 19:45:34.150312
end	1.9766476516273719	0.23333333333333334	65	47.23816305075897	47.241255701340755	6.032473880806257	6.006690275635534	21 - SAINT-PAUL	30 - XAVIER MARMIER	21	30.0	2014-05-22 19:48:34.150312
begin	0.0	0.0	101	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 19:49:34.150312
end	1.5655076971839923	0.2	40	47.24010992877723	47.241255701340755	6.027358757731064	6.006690275635534	24 - MEDIATHEQUE	30 - XAVIER MARMIER	24	30.0	2014-05-22 19:56:34.150312
end	1.8822921583529246	0.18333333333333332	85	47.234686721360035	47.241255701340755	6.029668698192095	6.006690275635534	13 - VICTOR HUGO	30 - XAVIER MARMIER	13	30.0	2014-05-22 19:56:34.150312
begin	0.0	0.0	86	47.234686721360035		6.029668698192095		13 - VICTOR HUGO		13		2014-05-22 19:57:34.150312
begin	0.0	0.0	41	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 19:58:34.150312
end	1.433150497764761	0.18333333333333332	101	47.240378590402976	47.242266739833966	6.033592242591653	6.014812815272848	07 - GARE MOUILLERE	28 - LECLERC	7	28.0	2014-05-22 20:00:34.150312
begin	0.0	0.0	80	47.23549883612933		6.015246632284997		09 - LA CITY (CB)		9		2014-05-22 20:01:34.150312
end	1.4029596769525556	0.18333333333333332	86	47.234686721360035	47.242266739833966	6.029668698192095	6.014812815272848	13 - VICTOR HUGO	28 - LECLERC	13	28.0	2014-05-22 20:08:34.150312
begin	0.0	0.0	81	47.23549883612933		6.015246632284997		09 - LA CITY (CB)		9		2014-05-22 20:09:34.150312
end	1.5655076971839923	0.18333333333333332	41	47.24010992877723	47.241255701340755	6.027358757731064	6.006690275635534	24 - MEDIATHEQUE	30 - XAVIER MARMIER	24	30.0	2014-05-22 20:09:34.150312
begin	0.0	0.0	140	47.24087		6.0253		19 - BEAUX-ARTS		19		2014-05-22 20:10:34.150312
end	1.487521281536461	0.18333333333333332	80	47.23549883612933	47.240378590402976	6.015246632284997	6.033592242591653	09 - LA CITY (CB)	07 - GARE MOUILLERE	9	7.0	2014-05-22 20:12:34.150312
begin	0.0	0.0	50	47.24598		6.0224		01 - GARE VIOTTE (CB)		1		2014-05-22 20:13:34.150312
end	1.5354713023757784	0.18333333333333332	81	47.23549883612933	47.245601166043805	6.015246632284997	6.029112984244656	09 - LA CITY (CB)	04 - FLORE	9	4.0	2014-05-22 20:20:34.150312
begin	0.0	0.0	42	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 20:21:34.150312
end	1.818549466087738	0.18333333333333332	50	47.24598	47.232098051962886	6.0224	6.035135506401409	01 - GARE VIOTTE (CB)	23 - RIVOTTE	1	23.0	2014-05-22 20:24:34.150312
begin	0.0	0.0	0	47.234141824485384		6.033465399526011		14 - JACOBINS		14		2014-05-22 20:25:34.150312
end	1.5590374182262507	0.18333333333333332	0	47.234141824485384	47.24598	6.033465399526011	6.0224	14 - JACOBINS	01 - GARE VIOTTE (CB)	14	1.0	2014-05-22 20:36:34.150312
begin	0.0	0.0	11	47.232140411418726		6.022842670313092		16 - GARE D'EAU		16		2014-05-22 20:37:34.150312
end	1.5698406840379187	0.18333333333333332	11	47.232140411418726	47.245601166043805	6.022842670313092	6.029112984244656	16 - GARE D'EAU	04 - FLORE	16	4.0	2014-05-22 20:48:34.150312
begin	0.0	0.0	93	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 20:49:34.150312
end	1.4408370005519244	0.18333333333333332	93	47.239837298410414	47.232098051962886	6.019829222956177	6.035135506401409	03 - MADELEINE (CB)	23 - RIVOTTE	3	23.0	2014-05-22 21:00:34.150312
begin	0.0	0.0	105	47.24274259048728		6.025292335375532		05 - ISEMBART		5		2014-05-22 21:01:34.150312
end	0.35672772026893385	1.0	140	47.24087	47.23775305781035	6.0253	6.024181412656592	19 - BEAUX-ARTS	10 - 8 SEPTEMBRE (CB)	19	10.0	2014-05-22 21:10:34.150312
begin	0.0	0.0	115	47.23532713371164		6.025415743969972		12 - GRANVELLE (CB)		12		2014-05-22 21:11:34.150312
end	1.3975682525540494	0.18333333333333332	105	47.24274259048728	47.232098051962886	6.025292335375532	6.035135506401409	05 - ISEMBART	23 - RIVOTTE	5	23.0	2014-05-22 21:12:34.150312
begin	0.0	0.0	0	47.24598		6.0224		01 - GARE VIOTTE (CB)		1		2014-05-22 21:13:34.150312
end	0.3109747169872255	1.0	42	47.24010992877723	47.239472732151135	6.027358757731064	6.023347888923649	24 - MEDIATHEQUE	20 - REVOLUTION	24	20.0	2014-05-22 21:21:34.150312
begin	0.0	0.0	95	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 21:22:34.150312
end	1.5590374182262507	0.18333333333333332	0	47.24598	47.234141824485384	6.0224	6.033465399526011	01 - GARE VIOTTE (CB)	14 - JACOBINS	1	14.0	2014-05-22 21:24:34.150312
begin	0.0	0.0	125	47.241255701340755		6.006690275635534		30 - XAVIER MARMIER		30		2014-05-22 21:25:34.150312
end	1.7521308671021971	0.18333333333333332	95	47.242516482485755	47.241255701340755	6.029825732914758	6.006690275635534	06 - OFFICE DE TOURISME (CB)	30 - XAVIER MARMIER	6	30.0	2014-05-22 21:33:34.150312
begin	0.0	0.0	70	47.23775305781035		6.024181412656592		10 - 8 SEPTEMBRE (CB)		10		2014-05-22 21:34:34.150312
end	1.4055385782587217	0.18333333333333332	125	47.241255701340755	47.24087	6.006690275635534	6.0253	30 - XAVIER MARMIER	19 - BEAUX-ARTS	30	19.0	2014-05-22 21:36:34.150312
begin	0.0	0.0	66	47.23816305075897		6.032473880806257		21 - SAINT-PAUL		21		2014-05-22 21:37:34.150312
end	0.6552826927774678	1.0	115	47.23532713371164	47.239837298410414	6.025415743969972	6.019829222956177	12 - GRANVELLE (CB)	03 - MADELEINE (CB)	12	3.0	2014-05-22 22:11:34.150312
begin	0.0	0.0	5	47.232098051962886		6.035135506401409		23 - RIVOTTE		23		2014-05-22 22:12:34.150312
end	1.4408370005519244	0.18333333333333332	5	47.232098051962886	47.239837298410414	6.035135506401409	6.019829222956177	23 - RIVOTTE	03 - MADELEINE (CB)	23	3.0	2014-05-22 22:23:34.150312
begin	0.0	0.0	115	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 22:24:34.150312
end	0.6037194239722987	1.0	70	47.23775305781035	47.242989691774426	6.024181412656592	6.022069520897031	10 - 8 SEPTEMBRE (CB)	02 - SQUARE BOUCHOT	10	2.0	2014-05-22 22:34:34.150312
begin	0.0	0.0	25	47.238861017468444		6.029520493529113		26 - BERSOT		26		2014-05-22 22:35:34.150312
end	1.4408370005519244	0.18333333333333332	115	47.239837298410414	47.232098051962886	6.019829222956177	6.035135506401409	03 - MADELEINE (CB)	23 - RIVOTTE	3	23.0	2014-05-22 22:35:34.150312
begin	0.0	0.0	80	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 22:36:34.150312
end	0.47162023832966377	1.0	66	47.23816305075897	47.237975621583274	6.032473880806257	6.026233043233463	21 - SAINT-PAUL	25 - MORAND	21	25.0	2014-05-22 22:37:34.150312
begin	0.0	0.0	102	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 22:38:34.150312
end	1.5356529353448785	0.18333333333333332	80	47.240378590402976	47.23897215841013	6.033592242591653	6.01335658368175	07 - GARE MOUILLERE	29 - SQUARE LABBE	7	29.0	2014-05-22 22:47:34.150312
begin	0.0	0.0	82	47.23549883612933		6.015246632284997		09 - LA CITY (CB)		9		2014-05-22 22:48:34.150312
end	1.5356529353448785	0.18333333333333332	102	47.240378590402976	47.23897215841013	6.033592242591653	6.01335658368175	07 - GARE MOUILLERE	29 - SQUARE LABBE	7	29.0	2014-05-22 22:49:34.150312
begin	0.0	0.0	126	47.23658127083706		6.028437571298568		11 - JEAN CORNET		11		2014-05-22 22:50:34.150312
end	1.5354713023757784	0.18333333333333332	82	47.23549883612933	47.245601166043805	6.015246632284997	6.029112984244656	09 - LA CITY (CB)	04 - FLORE	9	4.0	2014-05-22 22:59:34.150312
begin	0.0	0.0	66	47.237975621583274		6.026233043233463		25 - MORAND		25		2014-05-22 23:00:34.150312
end	0.2663542169104011	1.0	25	47.238861017468444	47.23658127083706	6.029520493529113	6.028437571298568	26 - BERSOT	11 - JEAN CORNET	26	11.0	2014-05-22 23:35:34.150312
begin	0.0	0.0	96	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 23:36:34.150312
end	0.6682342266176183	1.0	126	47.23658127083706	47.242516482485755	6.028437571298568	6.029825732914758	11 - JEAN CORNET	06 - OFFICE DE TOURISME (CB)	11	6.0	2014-05-22 23:50:34.150312
begin	0.0	0.0	103	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 23:51:34.150312
end	0.5347989461285122	1.0	66	47.237975621583274	47.24274259048728	6.026233043233463	6.025292335375532	25 - MORAND	05 - ISEMBART	25	5.0	2014-05-23 00:00:34.150312
begin	0.0	0.0	120	47.239472732151135		6.023347888923649		20 - REVOLUTION		20		2014-05-23 00:01:34.150312
end	1.433150497764761	0.18333333333333332	103	47.240378590402976	47.242266739833966	6.033592242591653	6.014812815272848	07 - GARE MOUILLERE	28 - LECLERC	7	28.0	2014-05-23 00:02:34.150312
begin	0.0	0.0	121	47.239472732151135		6.023347888923649		20 - REVOLUTION		20		2014-05-23 00:03:34.150312
end	1.3215864439182623	1.0	96	47.242516482485755	47.230679917904574	6.029825732914758	6.028241933846067	06 - OFFICE DE TOURISME (CB)	15 - TARRAGNOZ	6	15.0	2014-05-23 00:36:34.150312
begin	0.0	0.0	66	47.24274259048728		6.025292335375532		05 - ISEMBART		5		2014-05-23 00:37:34.150312
end	0.4424142895582104	1.0	120	47.239472732151135	47.23570567397708	6.023347888923649	6.021461994271495	20 - REVOLUTION	18 - SAINT-JACQUES (CB)	20	18.0	2014-05-23 01:01:34.150312
begin	0.0	0.0	116	47.23532713371164		6.025415743969972		12 - GRANVELLE (CB)		12		2014-05-23 01:02:34.150312
end	0.4424142895582104	1.0	121	47.239472732151135	47.23570567397708	6.023347888923649	6.021461994271495	20 - REVOLUTION	18 - SAINT-JACQUES (CB)	20	18.0	2014-05-23 01:03:34.150312
begin	0.0	0.0	126	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-23 01:04:34.150312
end	0.6794763309297179	1.0	66	47.24274259048728	47.240378590402976	6.025292335375532	6.033592242591653	05 - ISEMBART	07 - GARE MOUILLERE	5	7.0	2014-05-23 01:37:34.150312
begin	0.0	0.0	51	47.24598		6.0224		01 - GARE VIOTTE (CB)		1		2014-05-23 01:38:34.150312
end	1.5590374182262507	0.18333333333333332	51	47.24598	47.234141824485384	6.0224	6.033465399526011	01 - GARE VIOTTE (CB)	14 - JACOBINS	1	14.0	2014-05-23 01:49:34.150312
begin	0.0	0.0	43	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-23 01:50:34.150312
end	0.29598680801146465	1.0	116	47.23532713371164	47.23687885054159	6.025415743969972	6.022230358397715	12 - GRANVELLE (CB)	27 - MAIRIE	12	27.0	2014-05-23 02:02:34.150312
begin	0.0	0.0	62	47.232972634791274		6.020189619260524		17 - PREFECTURE		17		2014-05-23 02:03:34.150312
end	0.8113287902311114	1.0	126	47.242516482485755	47.239837298410414	6.029825732914758	6.019829222956177	06 - OFFICE DE TOURISME (CB)	03 - MADELEINE (CB)	6	3.0	2014-05-23 02:04:34.150312
begin	0.0	0.0	35	47.23687885054159		6.022230358397715		27 - MAIRIE		27		2014-05-23 02:05:34.150312
end	1.557460128951713	0.18333333333333332	62	47.232972634791274	47.245601166043805	6.020189619260524	6.029112984244656	17 - PREFECTURE	04 - FLORE	17	4.0	2014-05-23 02:14:34.150312
begin	0.0	0.0	67	47.23816305075897		6.032473880806257		21 - SAINT-PAUL		21		2014-05-23 02:15:34.150312
