beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	125	47.23658127083706		6.028437571298568		11 - JEAN CORNET		11		2014-05-22 18:05:29.215214
end	1.7221237242391285	0.18333333333333332	125	47.23658127083706	47.241255701340755	6.028437571298568	6.006690275635534	11 - JEAN CORNET	30 - XAVIER MARMIER	11	30.0	2014-05-22 18:16:29.215214
begin	0.0	0.0	95	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 18:17:29.215214
end	1.7521308671021971	0.2	95	47.242516482485755	47.241255701340755	6.029825732914758	6.006690275635534	06 - OFFICE DE TOURISME (CB)	30 - XAVIER MARMIER	6	30.0	2014-05-22 18:29:29.215214
begin	0.0	0.0	135	47.23570567397708		6.021461994271495		18 - SAINT-JACQUES (CB)		18		2014-05-22 18:30:29.215214
end	0.9860190143410624	1.0	135	47.23570567397708	47.242516482485755	6.021461994271495	6.029825732914758	18 - SAINT-JACQUES (CB)	06 - OFFICE DE TOURISME (CB)	18	6.0	2014-05-22 19:30:29.215214
begin	0.0	0.0	135	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 19:31:29.215214
end	1.7521308671021971	0.18333333333333332	135	47.242516482485755	47.241255701340755	6.029825732914758	6.006690275635534	06 - OFFICE DE TOURISME (CB)	30 - XAVIER MARMIER	6	30.0	2014-05-22 19:42:29.215214
begin	0.0	0.0	35	47.23687885054159		6.022230358397715		27 - MAIRIE		27		2014-05-22 19:43:29.215214
end	0.46086971752865885	1.0	35	47.23687885054159	47.232972634791274	6.022230358397715	6.020189619260524	27 - MAIRIE	17 - PREFECTURE	27	17.0	2014-05-22 20:43:29.215214
begin	0.0	0.0	60	47.232972634791274		6.020189619260524		17 - PREFECTURE		17		2014-05-22 20:44:29.215214
end	1.7283166055345864	0.18333333333333332	60	47.232972634791274	47.247417297125864	6.020189619260524	6.028643227134329	17 - PREFECTURE	22 - LIBERTE	17	22.0	2014-05-22 20:55:29.215214
begin	0.0	0.0	85	47.234686721360035		6.029668698192095		13 - VICTOR HUGO		13		2014-05-22 20:56:29.215214
end	1.417690683665205	0.18333333333333332	85	47.234686721360035	47.247417297125864	6.029668698192095	6.028643227134329	13 - VICTOR HUGO	22 - LIBERTE	13	22.0	2014-05-22 21:07:29.215214
begin	0.0	0.0	0	47.234141824485384		6.033465399526011		14 - JACOBINS		14		2014-05-22 21:08:29.215214
end	2.1706957606648474	0.18333333333333332	0	47.234141824485384	47.241255701340755	6.033465399526011	6.006690275635534	14 - JACOBINS	30 - XAVIER MARMIER	14	30.0	2014-05-22 21:19:29.215214
begin	0.0	0.0	40	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 21:20:29.215214
end	1.5655076971839923	0.18333333333333332	40	47.24010992877723	47.241255701340755	6.027358757731064	6.006690275635534	24 - MEDIATHEQUE	30 - XAVIER MARMIER	24	30.0	2014-05-22 21:31:29.215214
begin	0.0	0.0	5	47.232098051962886		6.035135506401409		23 - RIVOTTE		23		2014-05-22 21:32:29.215214
end	1.4408370005519244	0.18333333333333332	5	47.232098051962886	47.239837298410414	6.035135506401409	6.019829222956177	23 - RIVOTTE	03 - MADELEINE (CB)	23	3.0	2014-05-22 21:43:29.215214
begin	0.0	0.0	136	47.23570567397708		6.021461994271495		18 - SAINT-JACQUES (CB)		18		2014-05-22 21:44:29.215214
end	1.4106060119558812	0.18333333333333332	136	47.23570567397708	47.247417297125864	6.021461994271495	6.028643227134329	18 - SAINT-JACQUES (CB)	22 - LIBERTE	18	22.0	2014-05-22 21:55:29.215214
begin	0.0	0.0	110	47.23962163528984		6.01727555596672		08 - MARULAZ		8		2014-05-22 21:56:29.215214
