beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	30	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 18:13:41.595410
begin	0.0	0.0	130	47.23897215841013		6.01335658368175		29 - SQUARE LABBE		29		2014-05-22 18:14:41.595410
end	0.8672600531461474	1.0	30	47.247417297125864	47.240378590402976	6.028643227134329	6.033592242591653	22 - LIBERTE	07 - GARE MOUILLERE	22	7.0	2014-05-22 19:13:41.595410
begin	0.0	0.0	65	47.23816305075897		6.032473880806257		21 - SAINT-PAUL		21		2014-05-22 19:14:41.595410
end	0.0	1.0	130	47.23897215841013	47.23897215841013	6.01335658368175	6.01335658368175	29 - SQUARE LABBE	29 - SQUARE LABBE	29	29.0	2014-05-22 19:14:41.595410
begin	0.0	0.0	5	47.232098051962886		6.035135506401409		23 - RIVOTTE		23		2014-05-22 19:15:41.595410
end	2.376747883374506	0.18333333333333332	5	47.232098051962886	47.241255701340755	6.035135506401409	6.006690275635534	23 - RIVOTTE	30 - XAVIER MARMIER	23	30.0	2014-05-22 19:26:41.595410
begin	0.0	0.0	45	47.245601166043805		6.029112984244656		04 - FLORE		4		2014-05-22 19:27:41.595410
end	0.0	1.0	65	47.23816305075897	47.23816305075897	6.032473880806257	6.032473880806257	21 - SAINT-PAUL	21 - SAINT-PAUL	21	21.0	2014-05-22 20:14:41.595410
begin	0.0	0.0	0	47.234141824485384		6.033465399526011		14 - JACOBINS		14		2014-05-22 20:15:41.595410
end	0.34719538996242727	1.0	45	47.245601166043805	47.242516482485755	6.029112984244656	6.029825732914758	04 - FLORE	06 - OFFICE DE TOURISME (CB)	4	6.0	2014-05-22 20:27:41.595410
begin	0.0	0.0	95	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 20:28:41.595410
end	1.3837835837550616	1.0	0	47.234141824485384	47.23549883612933	6.033465399526011	6.015246632284997	14 - JACOBINS	09 - LA CITY (CB)	14	9.0	2014-05-22 21:15:41.595410
begin	0.0	0.0	135	47.23570567397708		6.021461994271495		18 - SAINT-JACQUES (CB)		18		2014-05-22 21:16:41.595410
end	1.1336659477293334	1.0	95	47.242516482485755	47.242266739833966	6.029825732914758	6.014812815272848	06 - OFFICE DE TOURISME (CB)	28 - LECLERC	6	28.0	2014-05-22 21:28:41.595410
begin	0.0	0.0	136	47.23570567397708		6.021461994271495		18 - SAINT-JACQUES (CB)		18		2014-05-22 21:29:41.595410
end	1.2427131326559149	1.0	135	47.23570567397708	47.245601166043805	6.021461994271495	6.029112984244656	18 - SAINT-JACQUES (CB)	04 - FLORE	18	4.0	2014-05-22 22:16:41.595410
begin	0.0	0.0	20	47.242989691774426		6.022069520897031		02 - SQUARE BOUCHOT		2		2014-05-22 22:17:41.595410
end	0.14276819357111822	1.0	136	47.23570567397708	47.23687885054159	6.021461994271495	6.022230358397715	18 - SAINT-JACQUES (CB)	27 - MAIRIE	18	27.0	2014-05-22 22:29:41.595410
begin	0.0	0.0	100	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 22:30:41.595410
end	0.520800211461693	1.0	20	47.242989691774426	47.23962163528984	6.022069520897031	6.01727555596672	02 - SQUARE BOUCHOT	08 - MARULAZ	2	8.0	2014-05-22 23:17:41.595410
begin	0.0	0.0	31	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 23:18:41.595410
end	1.487521281536461	1.0	100	47.240378590402976	47.23549883612933	6.033592242591653	6.015246632284997	07 - GARE MOUILLERE	09 - LA CITY (CB)	7	9.0	2014-05-22 23:30:41.595410
begin	0.0	0.0	90	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 23:31:41.595410
end	1.8613582170596703	1.0	31	47.247417297125864	47.230679917904574	6.028643227134329	6.028241933846067	22 - LIBERTE	15 - TARRAGNOZ	22	15.0	2014-05-23 00:18:41.595410
begin	0.0	0.0	35	47.23687885054159		6.022230358397715		27 - MAIRIE		27		2014-05-23 00:19:41.595410
end	0.26871332019382577	1.0	90	47.239837298410414	47.239472732151135	6.019829222956177	6.023347888923649	03 - MADELEINE (CB)	20 - REVOLUTION	3	20.0	2014-05-23 00:31:41.595410
begin	0.0	0.0	91	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-23 00:32:41.595410
end	0.4697995699292318	1.0	35	47.23687885054159	47.23658127083706	6.022230358397715	6.028437571298568	27 - MAIRIE	11 - JEAN CORNET	27	11.0	2014-05-23 01:19:41.595410
begin	0.0	0.0	101	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-23 01:20:41.595410
end	0.47566578721751074	1.0	91	47.239837298410414	47.23570567397708	6.019829222956177	6.021461994271495	03 - MADELEINE (CB)	18 - SAINT-JACQUES (CB)	3	18.0	2014-05-23 01:32:41.595410
begin	0.0	0.0	80	47.23549883612933		6.015246632284997		09 - LA CITY (CB)		9		2014-05-23 01:33:41.595410
end	0.8346008036511218	1.0	101	47.240378590402976	47.23532713371164	6.033592242591653	6.025415743969972	07 - GARE MOUILLERE	12 - GRANVELLE (CB)	7	12.0	2014-05-23 02:20:41.595410
begin	0.0	0.0	125	47.23658127083706		6.028437571298568		11 - JEAN CORNET		11		2014-05-23 02:21:41.595410
