beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
end	1.0440380438216923	1.0	10	47.232140411418726	47.23897215841013	6.022842670313092	6.01335658368175	16 - GARE D'EAU	29 - SQUARE LABBE	16	29.0	2014-05-23 01:21:45.504670
begin	0.0	0.0	85	47.234686721360035		6.029668698192095		13 - VICTOR HUGO		13		2014-05-23 01:22:45.504670
end	0.5611137210322847	1.0	71	47.23775305781035	47.24274259048728	6.024181412656592	6.025292335375532	10 - 8 SEPTEMBRE (CB)	05 - ISEMBART	10	5.0	2014-05-23 01:22:45.504670
begin	0.0	0.0	100	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-23 01:23:45.504670
end	0.34674161906168083	1.0	72	47.23775305781035	47.23658127083706	6.024181412656592	6.028437571298568	10 - 8 SEPTEMBRE (CB)	11 - JEAN CORNET	10	11.0	2014-05-23 02:21:45.504670
begin	0.0	0.0	31	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-23 02:22:45.504670
end	0.3289018736364831	1.0	85	47.234686721360035	47.23532713371164	6.029668698192095	6.025415743969972	13 - VICTOR HUGO	12 - GRANVELLE (CB)	13	12.0	2014-05-23 02:22:45.504670
begin	0.0	0.0	40	47.24274259048728		6.025292335375532		05 - ISEMBART		5		2014-05-23 02:23:45.504670
end	1.2346752666192928	1.0	100	47.240378590402976	47.23962163528984	6.033592242591653	6.01727555596672	07 - GARE MOUILLERE	08 - MARULAZ	7	8.0	2014-05-23 02:23:45.504670
begin	0.0	0.0	125	47.23658127083706		6.028437571298568		11 - JEAN CORNET		11		2014-05-23 02:24:45.504670
