beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	115	47.23532713371164		6.025415743969972		12 - GRANVELLE (CB)		12		2014-05-22 18:09:19.262127
begin	0.0	0.0	140	47.24087		6.0253		19 - BEAUX-ARTS		19		2014-05-22 18:10:19.262127
begin	0.0	0.0	100	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 18:11:19.262127
begin	0.0	0.0	70	47.23775305781035		6.024181412656592		10 - 8 SEPTEMBRE (CB)		10		2014-05-22 18:12:19.262127
begin	0.0	0.0	75	47.230679917904574		6.028241933846067		15 - TARRAGNOZ		15		2014-05-22 18:13:19.262127
begin	0.0	0.0	101	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-22 18:14:19.262127
begin	0.0	0.0	20	47.242989691774426		6.022069520897031		02 - SQUARE BOUCHOT		2		2014-05-22 18:15:19.262127
begin	0.0	0.0	95	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 18:16:19.262127
begin	0.0	0.0	90	47.239837298410414		6.019829222956177		03 - MADELEINE (CB)		3		2014-05-22 18:17:19.262127
begin	0.0	0.0	130	47.23897215841013		6.01335658368175		29 - SQUARE LABBE		29		2014-05-22 18:18:19.262127
end	1.559844703661878	0.18333333333333332	115	47.23532713371164	47.241255701340755	6.025415743969972	6.006690275635534	12 - GRANVELLE (CB)	30 - XAVIER MARMIER	12	30.0	2014-05-22 18:20:19.262127
begin	0.0	0.0	0	47.234141824485384		6.033465399526011		14 - JACOBINS		14		2014-05-22 18:21:19.262127
end	1.433150497764761	0.18333333333333332	100	47.240378590402976	47.242266739833966	6.033592242591653	6.014812815272848	07 - GARE MOUILLERE	28 - LECLERC	7	28.0	2014-05-22 18:22:19.262127
begin	0.0	0.0	30	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 18:23:19.262127
