beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	135	47.23570567397708		6.021461994271495		18 - SAINT-JACQUES (CB)		18		2014-05-22 18:07:37.999864
begin	0.0	0.0	95	47.242516482485755		6.029825732914758		06 - OFFICE DE TOURISME (CB)		6		2014-05-22 18:08:37.999864
begin	0.0	0.0	130	47.23897215841013		6.01335658368175		29 - SQUARE LABBE		29		2014-05-22 18:09:37.999864
begin	0.0	0.0	30	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 18:10:37.999864
begin	0.0	0.0	25	47.238861017468444		6.029520493529113		26 - BERSOT		26		2014-05-22 18:11:37.999864
end	1.4106060119558812	0.18333333333333332	135	47.23570567397708	47.247417297125864	6.021461994271495	6.028643227134329	18 - SAINT-JACQUES (CB)	22 - LIBERTE	18	22.0	2014-05-22 18:18:37.999864
begin	0.0	0.0	135	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 18:19:37.999864
end	1.7521308671021971	0.2	95	47.242516482485755	47.241255701340755	6.029825732914758	6.006690275635534	06 - OFFICE DE TOURISME (CB)	30 - XAVIER MARMIER	6	30.0	2014-05-22 18:20:37.999864
end	1.610392437542676	0.18333333333333332	130	47.23897215841013	47.234141824485384	6.01335658368175	6.033465399526011	29 - SQUARE LABBE	14 - JACOBINS	29	14.0	2014-05-22 18:20:37.999864
begin	0.0	0.0	5	47.232098051962886		6.035135506401409		23 - RIVOTTE		23		2014-05-22 18:21:37.999864
end	1.6670722389801897	0.18333333333333332	30	47.247417297125864	47.23549883612933	6.028643227134329	6.015246632284997	22 - LIBERTE	09 - LA CITY (CB)	22	9.0	2014-05-22 18:21:37.999864
begin	0.0	0.0	40	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 18:22:37.999864
end	1.743977894195958	0.18333333333333332	25	47.238861017468444	47.241255701340755	6.029520493529113	6.006690275635534	26 - BERSOT	30 - XAVIER MARMIER	26	30.0	2014-05-22 18:22:37.999864
begin	0.0	0.0	70	47.23775305781035		6.024181412656592		10 - 8 SEPTEMBRE (CB)		10		2014-05-22 18:23:37.999864
begin	0.0	0.0	31	47.247417297125864		6.028643227134329		22 - LIBERTE		22		2014-05-22 18:24:37.999864
end	1.7283166055345864	0.18333333333333332	135	47.247417297125864	47.232972634791274	6.028643227134329	6.020189619260524	22 - LIBERTE	17 - PREFECTURE	22	17.0	2014-05-22 18:30:37.999864
begin	0.0	0.0	15	47.241255701340755		6.006690275635534		30 - XAVIER MARMIER		30		2014-05-22 18:31:37.999864
end	1.818549466087738	0.18333333333333332	5	47.232098051962886	47.24598	6.035135506401409	6.0224	23 - RIVOTTE	01 - GARE VIOTTE (CB)	23	1.0	2014-05-22 18:32:37.999864
begin	0.0	0.0	125	47.23658127083706		6.028437571298568		11 - JEAN CORNET		11		2014-05-22 18:33:37.999864
end	1.5655076971839923	0.18333333333333332	40	47.24010992877723	47.241255701340755	6.027358757731064	6.006690275635534	24 - MEDIATHEQUE	30 - XAVIER MARMIER	24	30.0	2014-05-22 18:33:37.999864
begin	0.0	0.0	35	47.23687885054159		6.022230358397715		27 - MAIRIE		27		2014-05-22 18:34:37.999864
end	1.7283166055345864	0.18333333333333332	31	47.247417297125864	47.232972634791274	6.028643227134329	6.020189619260524	22 - LIBERTE	17 - PREFECTURE	22	17.0	2014-05-22 18:35:37.999864
