beginend	dist	hours	idvelo	lat0	lat1	lng0	lng1	name0	name1	number0	number1	time
begin	0.0	0.0	40	47.24010992877723		6.027358757731064		24 - MEDIATHEQUE		24		2014-05-22 18:13:10.770657
end	0.3552761109894618	1.0	40	47.24010992877723	47.23775305781035	6.027358757731064	6.024181412656592	24 - MEDIATHEQUE	10 - 8 SEPTEMBRE (CB)	24	10.0	2014-05-22 19:13:10.770657
begin	0.0	0.0	70	47.23775305781035		6.024181412656592		10 - 8 SEPTEMBRE (CB)		10		2014-05-22 19:14:10.770657
end	0.8441367972436689	1.0	70	47.23775305781035	47.230679917904574	6.024181412656592	6.028241933846067	10 - 8 SEPTEMBRE (CB)	15 - TARRAGNOZ	10	15.0	2014-05-22 20:14:10.770657
begin	0.0	0.0	105	47.24274259048728		6.025292335375532		05 - ISEMBART		5		2014-05-22 20:15:10.770657
end	0.9938187907963102	1.0	105	47.24274259048728	47.23897215841013	6.025292335375532	6.01335658368175	05 - ISEMBART	29 - SQUARE LABBE	5	29.0	2014-05-22 21:15:10.770657
begin	0.0	0.0	120	47.239472732151135		6.023347888923649		20 - REVOLUTION		20		2014-05-22 21:16:10.770657
end	1.210153202647024	1.0	120	47.239472732151135	47.232098051962886	6.023347888923649	6.035135506401409	20 - REVOLUTION	23 - RIVOTTE	20	23.0	2014-05-22 22:16:10.770657
begin	0.0	0.0	35	47.23687885054159		6.022230358397715		27 - MAIRIE		27		2014-05-22 22:17:10.770657
end	0.4697995699292318	1.0	35	47.23687885054159	47.23658127083706	6.022230358397715	6.028437571298568	27 - MAIRIE	11 - JEAN CORNET	27	11.0	2014-05-22 23:17:10.770657
begin	0.0	0.0	85	47.234686721360035		6.029668698192095		13 - VICTOR HUGO		13		2014-05-22 23:18:10.770657
end	0.6122090046073493	1.0	85	47.234686721360035	47.23687885054159	6.029668698192095	6.022230358397715	13 - VICTOR HUGO	27 - MAIRIE	13	27.0	2014-05-23 00:18:10.770657
begin	0.0	0.0	71	47.23775305781035		6.024181412656592		10 - 8 SEPTEMBRE (CB)		10		2014-05-23 00:19:10.770657
end	1.3767190940693375	1.0	71	47.23775305781035	47.241255701340755	6.024181412656592	6.006690275635534	10 - 8 SEPTEMBRE (CB)	30 - XAVIER MARMIER	10	30.0	2014-05-23 01:19:10.770657
begin	0.0	0.0	100	47.240378590402976		6.033592242591653		07 - GARE MOUILLERE		7		2014-05-23 01:20:10.770657
end	0.7799145216319306	1.0	100	47.240378590402976	47.239472732151135	6.033592242591653	6.023347888923649	07 - GARE MOUILLERE	20 - REVOLUTION	7	20.0	2014-05-23 02:20:10.770657
begin	0.0	0.0	20	47.242989691774426		6.022069520897031		02 - SQUARE BOUCHOT		2		2014-05-23 02:21:10.770657
